Pos,ID,Name,Link,Year,Author,Notes,Source,Type,R1 points,R1 Total,R1 Diff,R1 %,R1 Pos,R1 EnID,R1 En,R1 Grp,R1 Rep,R2 points,R2 total,R2 Diff,R2 %,R2 Pos,R2 Sup,R2 EnId,R2 En,R2 Grp,R3 points,R3 total,R3 Diff,R3 %,R3 Pos,R3 Sup,R3 EnId,R3 En,R3 Time,R3 Grp
57,30,1000 nót,https://www.tumblr.com/tumbliveleje/189666274574/t%C3%A9nyleg-szexi-a-hangod-%C3%A9n-meghallgatn%C3%A1m-azt-is?source=share&_branch_match_id=link-1160322437573772468,2019,tulelunkmindenttibcsi,1078,Tumblr,thread,54,122,-14,44.26%,2,29,Mozambik,X,,,,,,,,,,,,,,,,,,,,
58,15,Lush,https://www.tumblr.com/tumbliveleje/187981504734/csakamulokbamulok-constantinecontemplative?source=share&_branch_match_id=link-1160323258369705397,2015,remyhadley,131,Tumblr,text,50,195,-95,25.64%,1,16,Kiszel Tünde naptár,X,,,,,,,,,,,,,,,,,,,,
59,42,Szudáni roncs,https://at.tumblr.com/tumbliveleje/markoferko-markoferko-markoferko/h4yhd4ifr77e,2017,markoferko,399,Tumblr,text,48,184,-88,26.09%,2,41,Tinky Winky,X,,,,,,,,,,,,,,,,,,,,
60,75,Címer a falon,https://lilaflexninja.tumblr.com/post/662566183228391424/ha-nem-vicc-volt-az-eg%C3%A9sz-akkor-%C3%A9n-megpr%C3%B3b%C3%A1lom,2021,cseszlovak/karikasostor,908,Tumblr,text,47,101,-7,46.53%,1,76,Óra a Moszkván,X,,,,,,,,,,,,,,,,,,,,
61,62,Ayahusacafőzelék,https://at.tumblr.com/tumbliveleje/707985686706421760/41f1zyxm5xcm,2023,prajmi/mstrssbaroness,101,Tumblr,text,42,95,-11,44.21%,2,61,Te gepárd,X,,,,,,,,,,,,,,,,,,,,
62,22,Biztos retrothread,https://www.tumblr.com/tumbliveleje/188492191064/biztos?source=share&_branch_match_id=link-1160323894146500256,2016,remetekan,2182,Tumblr,thread,41,133,-51,30.83%,2,21,IT kábelezés,X,,,,,,,,,,,,,,,,,,,,
63,64,Kedvenc vicceim,https://mersekeltencsodalatos.tumblr.com/post/188854970098/mai-napig-a-kedvenc-viccem,2017,szazasertapaprikat,8044,Tumblr,thread,39,88,-10,44.32%,2,63,Krémespinát,X,,,,,,,,,,,,,,,,,,,,
64,54,Lakossági Thread eredet,https://tumblr.sztupy.hu/post/181765321281/mikor-sz%C3%BCletett-a-lakoss%C3%A1gi-thread-kifejez%C3%A9s,2014,szukits-magda,139,Tumblr,text,37,89,-15,41.57%,2,53,Konditermi típusok,X,,,,,,,,,,,,,,,,,,,,
65,52,Jegva Ótáyt,https://at.tumblr.com/tumbliveleje/archivemedes-orulunkvincent/r85wuve3c884,2022,elizabethbennettdehivjlizzynek,242,Tumblr,text,33,93,-27,35.48%,2,51,Sikermellény,X,,,,,,,,,,,,,,,,,,,,
66,40,Reklámelhelyezés,https://at.tumblr.com/tumbliveleje/ok-neee-j%C3%A9zusom-d-d-d-ddd-egyre-jobb-%C3%A9s/693juhlv93t4,2020,verifakingjuzful,549,Tumblr,thread,32,105,-41,30.48%,2,39,Kisjószág,X,,,,,,,,,,,,,,,,,,,,
